"filename", "language", "HTML", "TypeScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\UserProfile\UserProfile.component.ts", "TypeScript", 0, 60, 0, 0, 0, 10, 70
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\admin.module.ts", "TypeScript", 0, 35, 0, 0, 39, 3, 77
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\admin.routing.ts", "TypeScript", 0, 73, 0, 0, 0, 3, 76
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\app.component.html", "HTML", 1, 0, 0, 0, 0, 2, 3
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\app.component.spec.ts", "TypeScript", 0, 27, 0, 0, 0, 1, 28
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\app.component.ts", "TypeScript", 0, 19, 0, 0, 0, 3, 22
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\app.module.ts", "TypeScript", 0, 30, 0, 0, 47, 5, 82
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\app.routing.ts", "TypeScript", 0, 39, 0, 0, 0, 3, 42
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\AdminHeader\AdminHeader.component.html", "HTML", 47, 0, 0, 0, 0, 2, 49
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\AdminHeader\AdminHeader.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\AdminHeader\AdminHeader.component.ts", "TypeScript", 0, 40, 0, 0, 0, 8, 48
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\AdminHeader\admin-menu-items.ts", "TypeScript", 0, 57, 0, 0, 0, 5, 62
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\AdminSidebar\AdminSidebar.component.html", "HTML", 31, 0, 0, 0, 0, 2, 33
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\AdminSidebar\AdminSidebar.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\AdminSidebar\AdminSidebar.component.ts", "TypeScript", 0, 39, 0, 0, 2, 8, 49
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Footer\Footer.component.html", "HTML", 16, 0, 0, 0, 2, 2, 20
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Footer\Footer.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Footer\Footer.component.ts", "TypeScript", 0, 8, 0, 0, 0, 2, 10
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Header\Header.component.html", "HTML", 36, 0, 0, 0, 0, 2, 38
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Header\Header.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Header\Header.component.ts", "TypeScript", 0, 28, 0, 0, 0, 9, 37
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Menu\Menu.component.html", "HTML", 19, 0, 0, 0, 0, 0, 19
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Menu\Menu.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Menu\Menu.component.ts", "TypeScript", 0, 46, 0, 0, 0, 8, 54
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\Menu\menu-items.ts", "TypeScript", 0, 32, 0, 0, 0, 5, 37
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\SignInPopup\SignIn.component.html", "HTML", 68, 0, 0, 0, 3, 17, 88
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\SignInPopup\SignIn.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\core\SignInPopup\SignIn.component.ts", "TypeScript", 0, 8, 0, 0, 0, 2, 10
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\dashboard\DashboardOne\DashboardOne.component.html", "HTML", 2, 0, 0, 0, 2, 2, 6
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\dashboard\DashboardOne\DashboardOne.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\dashboard\DashboardOne\DashboardOne.component.ts", "TypeScript", 0, 60, 0, 0, 0, 7, 67
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\dashboard\dashboard.module.ts", "TypeScript", 0, 17, 0, 0, 0, 4, 21
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\dashboard\dashboard.routing.ts", "TypeScript", 0, 11, 0, 0, 0, 3, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\data\charts.data.ts", "TypeScript", 0, 26, 0, 0, 0, 1, 27
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\entities\comment.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 15
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\entities\exercise.ts", "TypeScript", 0, 21, 0, 0, 0, 3, 24
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\entities\message.ts", "TypeScript", 0, 16, 0, 0, 0, 2, 18
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\entities\plan.ts", "TypeScript", 0, 21, 0, 0, 0, 2, 23
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\entities\post.ts", "TypeScript", 0, 12, 0, 0, 0, 1, 13
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\entities\review.ts", "TypeScript", 0, 26, 0, 0, 0, 1, 27
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\entities\user.ts", "TypeScript", 0, 29, 0, 0, 0, 1, 30
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Banner\Banner.component.html", "HTML", 28, 0, 0, 0, 2, 2, 32
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Banner\Banner.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\Banner\Banner.component.ts", "TypeScript", 0, 17, 0, 0, 3, 9, 29
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\globalFrontendComponents\FeatureGridSection\FeatureGridSection.component.html", "HTML", 44, 0, 0, 0, 1, 0, 45
